,Active Cases,Country,Critical Cases,New Cases,New Deaths,Serious Cases,Total Cases,Total Deaths,Total Recovered,Total Test
180,ActiveCases,"Country,Other",Tot Cases/1M pop,NewCases,NewDeaths,"Serious,Critical",TotalCases,TotalDeaths,TotalRecovered,"Tests/
1M pop
"
204,9572,Portugal,970,0,0,245,9886,246,68,7294
135,703,Egypt,10,0,0,0,985,66,216,244
15,885,Slovenia,470,+43,+2,31,977,22,70,13040
162,81,Paraguay,13,+4,0,2,96,3,12,16
202,822,New Zealand,197,+82,0,1,950,1,127,6867
137,49,Gibraltar,2820,0,0,0,95,0,46,33718
153,8724,Brazil,43,+22,+2,296,9216,365,127,258
121,65309,Germany,1088,0,0,3936,91159,1275,24575,10962
136,8,Zimbabwe,0.6,0,0,0,9,1,0,21
181,8,Nepal,0.3,+3,0,0,9,0,1,47
156,7,MS Zaandam,0,0,0,0,9,2,0,0
185,9,Saint Kitts and Nevis,169,0,0,0,9,0,0,2124
112,9,Chad,0.5,+1,0,0,9,0,0,0
147,9,Eswatini,8,0,0,0,9,0,0,0
94,89,Rwanda,7,0,0,0,89,0,0,0
201,685,Hong Kong,115,+17,0,8,862,4,173,12005
67,735,Morocco,23,+53,+2,1,844,50,59,109
62,61650,France,1259,0,0,6662,82165,6507,14008,3436
148,540,Iraq,20,0,0,0,820,54,226,0
170,1558,China,57,+19,+4,331,81639,3326,76755,0
188,5,Angola,0.2,0,0,0,8,2,1,0
108,8,CAR,2,0,0,0,8,0,0,0
126,755,Lithuania,283,+75,0,11,771,9,7,7852
142,720,Armenia,260,+34,0,30,770,7,43,1348
149,7119,Israel,877,+161,+3,115,7589,43,427,10443
13,75,Liechtenstein,1967,0,0,0,75,0,0,23605
9,71,Guinea,6,0,0,0,73,0,2,0
59,82,Diamond Princess,0,0,0,10,712,11,619,0
31,70,Madagascar,3,0,0,6,70,0,0,0
167,32,Bangladesh,0.4,+9,+2,1,70,8,30,13
114,6,St. Vincent Grenadines,63,0,0,0,7,0,1,0
32,6,Somalia,0.4,0,0,0,7,0,1,0
158,7,Liberia,1,0,0,0,7,0,0,0
41,7,Vatican City,8739,0,0,0,7,0,0,0
187,588,Hungary,70,+55,+6,17,678,32,58,2011
124,281,Bahrain,396,+1,0,3,673,4,388,22401
0,60,Monaco,1631,0,0,2,64,1,3,0
117,61,Aruba,581,0,0,0,62,0,1,7830
64,568,Bosnia and Herzegovina,187,+35,+2,4,614,19,27,1431
90,5568,Sweden,607,0,0,469,6131,358,205,3654
98,6,Montserrat,1202,0,0,0,6,0,0,0
25,5,Cabo Verde,11,0,0,0,6,1,0,0
97,5,St. Barth,607,0,0,0,6,0,1,0
174,3,Mauritania,1,0,0,0,6,1,2,0
207,557,Moldova,147,0,0,65,591,8,26,42
173,35,French Guiana,191,0,0,1,57,0,22,0
172,53,El Salvador,9,+10,0,4,56,3,0,0
73,34356,Iran,664,+2560,+158,4035,55743,3452,17935,952
16,4935,Australia,218,+96,+2,85,5550,30,585,11203
4,5279,Norway,991,0,0,96,5370,59,32,18812
11,43,Jamaica,18,0,0,0,53,3,7,149
131,484,Kazakhstan,28,+61,+2,6,525,5,36,17
118,453,Lebanon,76,+12,0,26,520,17,50,1322
83,51,Barbados,177,0,0,0,51,0,0,1329
87,484,Cameroon,19,0,0,0,509,8,17,0
176,507,Latvia,270,+16,0,3,509,1,1,10275
70,37,Guatemala,3,0,0,1,50,1,12,0
105,5,Turks and Caicos,129,0,0,0,5,0,0,0
57,4,Nicaragua,0.8,0,0,0,5,1,0,0
206,3,Bhutan,6,0,0,0,5,0,2,0
88,450,Bulgaria,72,+13,0,21,498,14,34,81
169,472,Tunisia,42,0,0,26,495,18,5,485
55,41,Djibouti,50,0,0,0,49,0,8,0
80,48,Uganda,1,0,0,0,48,0,0,0
115,4355,Russia,32,+582,+9,8,4731,43,333,4379
125,460,Slovakia,86,+21,0,3,471,1,10,2497
197,406,Azerbaijan,44,0,0,7,443,5,32,3452
151,407,Andorra,5682,0,0,12,439,16,16,0
208,398,North Macedonia,206,0,0,8,430,12,20,2163
37,33,Macao,66,+1,0,0,43,0,10,0
140,4128,Ireland,865,0,0,148,4273,120,25,6119
150,4064,Czechia,392,+4,+3,87,4194,56,74,6926
123,334,Kuwait,98,0,+1,16,417,1,82,0
74,403,Costa Rica,82,0,0,13,416,2,11,755
24,20,Togo,5,0,0,0,40,3,17,0
177,4,Belize,10,0,0,0,4,0,0,63
19,3,Botswana,2,0,0,0,4,1,0,74
179,1,Gambia,2,0,0,0,4,1,2,0
46,357,Cyprus,328,0,0,11,396,11,28,7825
63,39,French Polynesia,139,0,0,1,39,0,0,1972
120,36,Zambia,2,0,0,0,39,1,2,34
205,36,Mali,2,0,0,0,39,3,0,0
60,296,Uruguay,111,0,0,13,386,4,86,1378
6,34428,UK,562,0,0,163,38168,3605,135,2560
182,2425,Denmark,649,0,0,153,3757,139,1193,7055
175,3288,Chile,195,0,0,31,3737,22,427,1838
154,300,Taiwan,15,+7,0,0,355,5,50,1488
119,294,Belarus,37,0,0,11,351,4,53,3386
21,3314,Poland,93,+120,+2,50,3503,73,116,1769
198,21,Bermuda,562,0,0,0,35,0,14,4368
130,32,Ethiopia,0.3,0,0,2,35,0,3,11
7,2511,Malaysia,108,+150,+4,99,3483,57,915,1532
107,3158,Ecuador,191,0,0,100,3368,145,65,585
81,281,Réunion,359,0,0,3,321,0,40,0
23,2767,Romania,165,0,0,83,3183,133,283,1646
190,247,Jordan,30,0,0,5,310,5,58,23
139,2893,Philippines,28,+76,+8,1,3094,144,57,48
164,2767,India,2,+23,0,0,3082,86,229,84
43,198,Albania,106,0,0,7,304,17,89,706
34,236,Burkina Faso,14,0,0,0,302,16,50,0
54,3,British Virgin Islands,99,0,0,0,3,0,0,0
35,3,Anguilla,200,0,0,0,3,0,0,0
82,3,Burundi,0.3,0,0,0,3,0,0,0.2
75,3,Malawi,0.2,0,0,0,3,0,0,0
92,283,Afghanistan,8,+18,0,0,299,6,10,0
193,2352,Japan,23,0,0,60,2935,69,514,312
95,27,Cayman Islands,441,0,0,0,29,1,1,4032
22,257836,USA,838,+361,+11,5787,277522,7403,12283,4097
36,215,Oman,54,+25,0,3,277,1,61,0
196,2538,Pakistan,12,+22,0,13,2708,40,130,137
28,248,Cuba,24,0,0,8,269,6,15,295
5,246,Honduras,27,+42,0,10,264,15,3,0
141,2081,Luxembourg,4173,0,0,33,2612,31,500,34287
61,193,San Marino,7397,0,0,13,251,32,26,17270
163,214,Uzbekistan,7,+14,0,8,241,2,25,0
132,21,Bahamas,61,0,0,1,24,3,0,0
84,149,Vietnam,2,0,0,3,239,0,90,775
111,215,Channel Islands,1334,0,0,0,232,4,13,0
189,13,Sint Maarten,536,0,0,0,23,4,6,1912
102,19,Guyana,29,0,0,0,23,4,0,106
53,22,Eritrea,6,0,0,0,22,0,0,0
2,19,Saint Martin,569,0,0,0,22,1,2,466
39,18,Congo,4,0,0,0,22,2,2,0
101,198,Ivory Coast,8,0,0,0,218,1,19,0
160,181,Nigeria,1,0,0,2,210,4,25,0
159,19,Gabon,9,0,0,0,21,1,1,0
171,20012,Turkey,248,0,0,1251,20921,425,484,1680
186,1751,Indonesia,8,+106,+10,0,2092,191,150,26
178,140,Senegal,12,0,0,1,207,1,66,12
192,1435,Thailand,30,+89,+1,23,2067,20,612,339
79,183,Palestine,40,+11,0,0,205,1,21,1481
191,169,Ghana,7,0,0,2,205,5,31,0
45,1663,Saudi Arabia,59,0,0,41,2039,25,351,0
69,200,Malta,457,0,0,2,202,0,2,20480
8,16,Tanzania,0.3,0,0,0,20,1,3,0
100,19,Myanmar,0.4,0,0,0,20,1,0,0
14,2,Sierra Leone,0.3,0,0,0,2,0,0,0.3
184,2,Caribbean Netherlands,76,0,0,0,2,0,0,381
104,14252,Switzerland,2276,+96,+13,348,19702,604,4846,16844
113,194,Montenegro,314,+23,0,4,197,2,1,1899
146,189,Mauritius,154,+10,0,1,196,7,0,0
96,6,Maldives,35,0,0,0,19,0,13,0
49,1562,Finland,340,+267,0,72,1882,20,300,4783
106,13901,Belgium,1590,+1661,+140,1245,18431,1283,3247,5424
40,88,Faeroe Islands,3704,+2,0,2,181,0,93,98234
78,17,Haiti,2,0,0,0,18,0,1,18
138,17,New Caledonia,63,0,0,0,18,0,1,4869
165,16,Libya,2,0,0,0,17,1,0,19
116,995,Mexico,13,+178,+10,1,1688,60,633,122
47,1622,Panama,388,0,0,50,1673,41,10,1700
77,1472,Greece,155,0,0,92,1613,63,78,2153
183,14,Benin,1,0,0,0,16,0,2,0
38,12,Syria,0.9,0,0,0,16,2,2,0
20,15,Equatorial Guinea,11,0,0,0,16,0,1,0
122,997,Peru,48,0,0,51,1595,61,537,501
134,129,Sri Lanka,7,0,+1,5,159,5,25,0
48,13986,Netherlands,918,0,0,1324,15723,1487,250,4401
133,127,Georgia,39,+1,+1,6,156,1,28,0
103,94,Venezuela,5,0,0,6,153,7,52,63
155,1401,South Africa,25,0,0,7,1505,9,95,849
17,15,Guinea-Bissau,8,0,0,0,15,0,0,0
99,15,Antigua and Barbuda,153,0,0,1,15,0,0,408
65,1404,Dominican Republic,137,0,0,147,1488,68,16,387
89,129,DRC,2,0,0,0,148,16,3,0
157,1383,Serbia,169,0,0,81,1476,39,54,659
109,134,Kyrgyzstan,22,+14,0,5,144,1,9,1474
145,113,Martinique,381,0,0,18,143,3,27,0
194,14,Dominica,194,0,0,0,14,0,0,0
128,11,Namibia,6,0,0,0,14,0,3,118
71,12,Mongolia,4,0,0,0,14,0,2,0
42,128,Bolivia,12,+7,+1,3,139,10,1,51
44,1024,Iceland,3997,0,0,12,1364,4,336,65042
29,1045,Argentina,30,0,0,0,1353,42,266,163
56,68,Brunei,309,+1,0,3,135,1,66,17832
110,99,Guadeloupe,325,0,0,14,130,7,24,0
51,12,Saint Lucia,71,0,0,0,13,0,1,0
129,116,Mayotte,469,0,0,3,128,2,10,1756
72,1187,Colombia,25,0,0,50,1267,25,55,417
195,1147,UAE,128,0,0,2,1264,9,108,22244
152,10019,Canada,332,+174,0,120,12549,208,2322,8021
199,78773,Spain,2668,+5537,+546,6416,124736,11744,34219,7593
85,114,Kenya,2,0,0,2,122,4,4,41
3,120,Isle of Man,1423,+7,0,0,121,1,0,15194
68,115,Niger,5,0,0,0,120,5,0,154
91,12,Grenada,107,0,0,2,12,0,0,400
30,12,Fiji,13,+5,0,0,12,0,0,0
161,85388,Italy,1982,0,0,4068,119827,14681,19758,10252
127,9106,Austria,1308,+257,0,245,11781,168,2507,11562
93,1004,Algeria,27,0,0,0,1171,105,62,77
1,64,Cambodia,7,0,0,1,114,0,50,345
58,835977,World,145,+13471,+956,39444,1130114,60114,234023,0
33,826,Singapore,190,0,+1,24,1114,6,282,6666
10,7,Curaçao,67,0,0,0,11,1,3,0
50,1045,Ukraine,25,+24,+1,16,1096,28,23,115
200,975,Croatia,263,0,+4,39,1079,12,92,2034
203,979,Qatar,373,0,0,37,1075,3,93,9862
144,946,Estonia,767,+57,+1,20,1018,13,59,14392
76,3654,S. Korea,198,+94,+3,55,10156,177,6325,8875
168,93,Trinidad and Tobago,71,+2,0,0,100,6,1,516
166,7,Greenland,176,0,0,0,10,0,3,9547
52,9,Suriname,17,0,0,0,10,1,0,0
143,10,Mozambique,0.3,0,0,0,10,0,0,0
86,10,Seychelles,102,0,0,0,10,0,0,0
26,10,Laos,1,0,0,0,10,0,0,60
66,6,Sudan,0.2,0,0,0,10,2,2,0
27,1,Papua New Guinea,0.1,0,0,0,1,0,0,0
12,1,Timor-Leste,0.8,0,0,0,1,0,0,0
18,1,Falkland Islands,287,0,0,0,1,0,0,0
